,City,Lat,Long,Max Temp,Humidity,Cloudiness (%),Wind Speed (m/s),Country,Date
370,Shalinskoye,55.72,93.76,287.85,90,64,2.44,RU,1596041298
371,Ternate,0.8,127.4,297.53,89,84,1.57,ID,1596041298
372,Joshīmath,30.57,79.57,293.0,63,100,1.03,IN,1596041298
373,Iralaya,15.0,-83.23,303.15,79,75,4.1,HN,1596041298
374,Markova,48.68,24.41,301.15,51,54,1.0,UA,1596041299
375,Noyabrsk,63.2,75.45,282.35,91,24,2.92,RU,1596041299
376,Knyaginino,55.82,45.03,293.53,78,94,3.58,RU,1596041299
377,Nuevo Progreso,23.17,-97.95,298.15,72,100,1.07,MX,1596041165
378,Palu,-0.89,119.87,297.4,82,97,0.97,ID,1596041299
379,Oriximiná,-1.77,-55.87,307.29,32,0,3.51,BR,1596041299
380,Tateyama,34.98,139.87,294.82,100,75,0.5,JP,1596041300
381,Ucluelet,48.93,-125.55,286.15,100,90,2.1,CA,1596041300
382,Nelson Bay,-32.72,152.15,284.82,93,29,3.6,AU,1596041300
383,Alice Springs,-23.7,133.88,278.15,32,0,2.1,AU,1596041093
384,Wundanyi,-3.4,38.36,290.89,69,3,4.64,KE,1596041300
385,Belaya Gora,68.53,146.42,280.03,65,99,3.06,RU,1596041301
386,Rørvik,64.86,11.24,294.15,60,40,3.6,NO,1596041301
387,Oteşani,45.07,24.03,299.79,62,0,1.51,RO,1596041301
388,San Quintín,30.48,-115.95,296.09,67,3,5.93,MX,1596041301
389,Žarnovica,48.48,18.72,302.04,54,20,2.1,SK,1596041174
390,Nivala,63.92,24.97,289.82,89,100,0.89,FI,1596041301
391,Markivka,49.52,39.57,298.2,45,34,1.35,UA,1596041302
392,Dolores,-36.31,-57.68,284.3,50,0,4.09,AR,1596041302
393,Pachino,36.72,15.09,305.15,29,0,3.6,IT,1596041302
394,Madingou,-4.15,13.55,303.64,39,77,2.07,CG,1596041302
395,Freetown,8.48,-13.23,298.29,83,98,6.37,SL,1596041302
396,Abalak,58.13,68.59,282.62,76,70,0.73,RU,1596041302
397,Jega,12.22,4.38,305.62,48,15,3.31,NG,1596041303
398,Hamilton,39.18,-84.53,304.82,54,1,2.6,US,1596041125
399,Concordia,-31.39,-58.02,286.15,47,0,2.1,AR,1596041303
400,Al Bardīyah,31.76,25.09,300.07,64,0,5.47,LY,1596041303
401,Maracaçumé,-2.04,-45.96,305.08,47,27,1.52,BR,1596041303
402,Port Blair,11.67,92.75,301.24,79,100,5.99,IN,1596041040
403,Cukai,4.25,103.42,297.15,100,100,3.13,MY,1596041304
404,Kibala,9.11,18.35,294.15,94,40,0.5,TD,1596041304
405,Torbay,47.67,-52.73,288.15,82,75,3.1,CA,1596041304
406,Lebanon,36.21,-86.29,303.71,70,75,1.5,US,1596041304
407,Shahr-e Bābak,30.12,55.12,299.0,17,0,6.98,IR,1596041304
408,Tanete,-3.94,119.78,296.37,89,45,3.15,ID,1596041305
409,Constantine,36.37,6.61,311.15,15,0,5.1,DZ,1596041305
410,Havøysund,71.0,24.66,296.15,77,70,2.1,NO,1596041305
411,Cayenne,4.93,-52.33,305.15,52,75,2.1,GF,1596041305
412,Ten'gushevo,54.77,42.72,294.26,72,52,3.1,RU,1596041305
413,Rivne,50.62,26.23,297.59,87,50,2.4,UA,1596041305
414,Parakou,9.34,2.63,299.34,79,59,2.14,BJ,1596041305
415,Severnyy,50.68,36.55,303.15,37,48,3.0,RU,1596041306
416,Uarini,-2.99,-65.11,304.15,74,40,4.6,BR,1596041306
417,Puerto Carreño,6.19,-67.49,304.15,58,20,5.1,CO,1596041201
418,Camacha,33.08,-16.33,296.15,56,20,6.2,PT,1596041306
419,Puerto Escondido,15.85,-97.07,302.15,70,75,2.6,MX,1596041306
420,Fare,-16.7,-151.02,299.7,77,99,9.25,PF,1596041307
421,Talnakh,69.49,88.4,287.15,71,27,4.0,RU,1596041307
422,Poum,-20.23,164.02,296.14,91,90,10.57,NC,1596041307
423,Ubari,26.59,12.78,309.49,12,0,5.28,LY,1596041307
424,Atasū,48.68,71.64,291.06,54,29,3.68,KZ,1596041307
425,Alindao,5.03,21.21,295.78,92,56,1.36,CF,1596041307
426,Tālbahat,25.05,78.43,300.24,83,100,1.77,IN,1596041308
427,Port Hawkesbury,45.62,-61.35,300.93,78,1,2.6,CA,1596041308
428,Chengzhong,30.95,113.55,301.15,88,75,5.0,CN,1596041308
429,Cartagena,10.4,-75.51,307.15,63,40,2.1,CO,1596041155
430,Beyla,8.68,-8.63,298.24,82,50,1.81,GN,1596041308
431,Naze,28.37,129.48,301.15,88,75,2.6,JP,1596041308
432,Krasne,49.91,24.61,298.15,57,40,4.0,UA,1596041309
433,Gamba,-2.65,10.0,296.66,76,77,4.67,GA,1596041309
434,Ziarat,30.38,67.73,296.45,41,0,1.78,PK,1596041309
435,Thinadhoo,0.53,72.93,301.63,79,4,7.09,MV,1596041309
436,Gandajika,-6.75,23.95,298.74,22,14,0.8,CD,1596041309
437,Ribnitz-Damgarten,54.25,12.47,292.15,52,75,8.2,DE,1596041309
438,Vao,-22.67,167.48,294.88,84,100,12.87,NC,1596041310
439,Chala,-7.58,31.27,292.15,55,20,2.1,TZ,1596041310
440,Sassandra,4.95,-6.08,298.48,79,48,4.48,CI,1596041310
441,Kruisfontein,-34.0,24.73,287.04,73,0,3.71,ZA,1596041310
442,Yar-Sale,66.83,70.83,284.91,75,100,1.12,RU,1596041310
443,Foz,43.57,-7.25,295.93,74,55,5.81,ES,1596041311
444,Rybinsk,58.04,38.84,293.11,87,100,4.79,RU,1596041311
445,Bozeman,45.68,-111.04,296.48,53,1,2.3,US,1596041311
446,Vegreville,53.5,-112.05,294.19,85,89,4.96,CA,1596041135
447,Laguna,38.42,-121.42,295.37,63,1,2.1,US,1596041311
448,Hambantota,6.12,81.12,301.15,78,75,6.2,LK,1596041312
449,Weligama,5.97,80.42,298.88,89,56,4.64,LK,1596041312
450,Lago da Pedra,-4.33,-45.17,306.15,35,0,2.25,BR,1596041312
451,Danielskuil,-28.19,23.54,284.32,42,0,2.71,ZA,1596041312
452,Saquena,-4.67,-73.52,305.81,49,1,2.08,PE,1596041312
453,Fokino,42.98,132.4,293.15,100,90,3.0,RU,1596041313
454,Wiarton,44.74,-81.13,299.26,78,75,4.1,CA,1596041313
455,Walvis Bay,-22.96,14.51,294.15,49,0,3.6,NA,1596041313
456,Przhevalskoye,55.51,31.85,291.59,95,100,3.62,RU,1596041313
457,Opuwo,-18.06,13.84,293.41,24,0,4.06,NA,1596041313
458,Lorengau,-2.02,147.27,300.63,66,86,1.84,PG,1596041314
459,Pauini,-7.71,-66.98,308.01,33,11,2.21,BR,1596041314
460,Zima,53.92,102.04,287.53,96,100,1.89,RU,1596041314
461,Khasan,42.43,130.64,292.2,95,56,2.66,RU,1596041314
462,Strezhevoy,60.73,77.59,285.15,81,51,2.0,RU,1596041315
463,Coquimbo,-29.95,-71.34,287.15,76,0,4.6,CL,1596041100
464,La Plata,-34.92,-57.95,288.15,45,0,1.34,AR,1596041315
465,Deputatsky,69.3,139.9,274.09,92,17,1.76,RU,1596041315
466,Kokopo,-4.35,152.26,297.88,86,3,2.5,PG,1596041315
467,Jalu,29.03,21.55,308.9,16,0,3.74,LY,1596041315
468,Ambunti,-4.24,142.84,295.94,98,98,0.36,PG,1596041315
469,Sambava,-14.27,50.17,295.74,82,0,6.49,MG,1596041316
470,Qusar,41.43,48.43,291.91,72,80,2.23,AZ,1596041316
471,Izhevskoye,54.56,40.87,295.29,76,28,3.49,RU,1596041316
472,Lagoa,39.05,-27.98,296.39,89,0,11.13,PT,1596041316
473,Salalah,17.02,54.09,301.15,88,75,3.1,OM,1596041316
474,Harlingen,26.19,-97.7,299.82,94,40,3.6,US,1596041189
475,Asău,46.43,26.4,299.82,67,29,1.2,RO,1596041445
476,Prome,18.82,95.22,298.0,88,95,3.04,MM,1596041445
477,Rocha,-34.48,-54.33,284.56,58,0,3.42,UY,1596041446
478,Tibiri,13.56,7.05,305.15,59,20,7.2,NE,1596041446
479,Kampene,-3.6,26.67,298.86,29,0,0.77,CD,1596041446
480,Plettenberg Bay,-34.05,23.37,287.35,64,0,3.02,ZA,1596041446
481,Laureles,26.11,-97.49,301.48,78,90,6.7,US,1596041446
482,Padang,-0.95,100.35,298.26,77,90,2.0,ID,1596041446
483,Comodoro Rivadavia,-45.87,-67.5,282.15,61,39,0.95,AR,1596041251
484,Feijó,-8.16,-70.35,306.72,39,2,2.2,BR,1596041447
485,Kemijärvi,66.71,27.43,292.31,58,98,3.99,FI,1596041447
486,Kanniyākumāri,8.08,77.57,299.23,81,100,10.95,IN,1596041447
487,Srandakan,-7.94,110.25,294.14,84,42,2.11,ID,1596041447
488,Srednekolymsk,67.45,153.68,278.55,88,80,3.07,RU,1596041447
489,Santo Ângelo,-28.3,-54.26,285.93,63,0,1.34,BR,1596041435
490,Evensk,61.95,159.23,283.84,72,86,6.1,RU,1596041448
491,Ust'-Kut,56.79,105.77,288.96,78,100,1.93,RU,1596041448
492,Hīt,33.64,42.83,316.05,12,11,4.8,IQ,1596041448
493,Oodweyne,9.41,45.06,298.53,50,51,8.01,SO,1596041448
494,Elliot,-31.33,27.85,283.44,45,0,3.81,ZA,1596041449
495,Aitape,-3.14,142.35,298.52,83,45,2.13,PG,1596041449
496,North Bend,43.41,-124.22,293.71,93,90,2.1,US,1596041396
497,Kumul,42.8,93.45,302.59,14,100,1.26,CN,1596041449
498,Great Yarmouth,52.61,1.73,294.26,46,75,5.1,GB,1596041449
499,Bratsk,56.13,101.61,289.15,100,100,1.0,RU,1596041449
500,Kantunilkín,21.09,-87.45,304.15,66,40,6.2,MX,1596041450
501,Dobšiná,48.82,20.37,298.15,36,20,5.7,SK,1596041450
502,Muros,42.78,-9.06,301.48,58,0,0.89,ES,1596041450
503,Luanda,-8.84,13.23,296.15,78,20,4.6,AO,1596041321
504,Skjervøy,70.03,20.97,297.15,44,99,7.2,NO,1596041450
505,Jatibonico,21.94,-79.17,304.54,64,11,5.55,CU,1596041450
506,Maputo,-25.97,32.59,294.15,56,0,2.1,MZ,1596041394
507,Gazli,40.13,63.45,301.69,16,0,6.46,UZ,1596041451
508,Nushki,29.55,66.02,305.66,12,3,3.86,PK,1596041451
509,Hirara,24.8,125.28,302.76,80,86,8.42,JP,1596041451
510,Fallon,39.47,-118.78,303.15,21,1,2.1,US,1596041451
511,Nouadhibou,20.93,-17.03,297.15,73,9,10.8,MR,1596041451
512,Olafsvik,64.89,-23.71,284.38,80,93,1.62,IS,1596041452
513,Tharād,24.4,71.63,304.79,65,88,4.67,IN,1596041452
514,Krasnoyarskiy,51.97,59.9,292.62,59,0,2.04,RU,1596041452
515,Micheweni,-4.97,39.83,297.87,80,1,7.01,TZ,1596041452
516,Jasper,37.2,-94.35,299.26,88,75,2.1,US,1596041452
517,Jinsha,32.09,121.07,299.26,99,100,3.32,CN,1596041452
518,Ahar,38.48,47.07,298.09,54,66,3.94,IR,1596041282
519,Broome,42.25,-75.83,302.59,47,75,4.1,US,1596041453
520,Peniche,39.36,-9.38,298.15,81,6,3.13,PT,1596041453
521,Sioux Lookout,50.1,-91.92,293.15,68,75,3.6,CA,1596041453
522,Bahir Dar,11.59,37.39,290.2,89,55,2.48,ET,1596041453
523,Qandala,11.47,49.87,305.21,54,27,1.29,SO,1596041454
524,Yumen,40.28,97.2,298.15,22,2,2.5,CN,1596041454
525,Monrovia,6.3,-10.8,298.7,76,31,5.7,LR,1596041454
526,Stornoway,58.21,-6.39,287.15,67,75,4.1,GB,1596041454
527,Dunmore East,52.15,-6.99,287.59,100,75,5.1,IE,1596041454
528,Zaporizhia,47.82,35.18,303.71,34,32,1.0,UA,1596041455
529,El Espinal,16.33,-94.07,303.94,64,87,1.09,MX,1596041455
530,West Fargo,46.88,-96.9,298.71,60,1,4.1,US,1596041455
531,Alyangula,-13.85,136.42,283.15,93,0,1.5,AU,1596041455
532,Cheb,50.08,12.37,296.48,39,47,0.89,CZ,1596041455
533,Rafai,4.95,23.92,294.53,96,100,0.87,CF,1596041455
534,Erenhot,43.65,111.98,299.82,30,80,4.61,CN,1596041455
535,Abhā,18.22,42.51,293.15,82,94,2.6,SA,1596041456
536,Haikou,20.05,110.34,300.15,94,0,2.0,CN,1596041406
537,Port Hardy,50.7,-127.42,286.15,87,75,1.5,CA,1596041456
538,Río Cuarto,-33.13,-64.35,290.15,18,0,8.7,AR,1596041266
539,Batasan,12.77,120.78,299.61,81,100,1.68,PH,1596041456
540,Sistranda,63.73,8.83,289.26,87,20,6.7,NO,1596041456
541,Şebinkarahisar,40.29,38.42,290.32,65,6,3.05,TR,1596041456
542,Bafoulabé,13.81,-10.83,303.58,65,94,2.7,ML,1596041457
543,Praia,14.92,-23.51,303.15,66,40,6.7,CV,1596041457
544,Kulhudhuffushi,6.62,73.07,301.1,79,100,8.49,MV,1596041457
545,Sangar,63.92,127.47,283.12,85,28,1.7,RU,1596041457
546,Vila Franca do Campo,37.72,-25.43,297.15,83,75,4.6,PT,1596041457
547,Sisimiut,66.94,-53.67,283.15,65,93,2.61,GL,1596041458
548,Nālūt,30.33,10.85,308.6,11,0,5.92,LY,1596041458
549,Halifax,44.65,-63.57,306.48,69,40,4.6,CA,1596041458
550,Killam,52.78,-111.85,293.03,88,99,4.49,CA,1596041458
551,Dondaicha,21.33,74.57,300.95,81,100,4.93,IN,1596041458
552,Cururupu,-1.83,-44.87,304.02,55,32,2.05,BR,1596041459
553,Praia,14.92,-23.51,303.15,66,40,6.7,CV,1596041459
554,Pontes e Lacerda,-15.23,-59.34,302.45,33,3,3.05,BR,1596041459
555,Qui Nhon,13.77,109.23,300.41,80,90,1.76,VN,1596041459
556,Kedrovyy,56.17,91.82,289.15,93,59,1.0,RU,1596041459
557,Calama,-22.47,-68.93,292.15,1,0,1.0,CL,1596041283
558,Lundamo,63.13,10.3,296.15,38,20,1.5,NO,1596041459
559,Kloulklubed,7.04,134.26,299.15,88,90,3.74,PW,1596041460
560,Vila Velha,-20.33,-40.29,302.15,51,0,7.2,BR,1596041460
561,Krasnosel'kup,65.7,82.47,286.94,68,97,0.06,RU,1596041460
562,Vardø,70.37,31.11,285.15,87,75,11.8,NO,1596041460
563,Tete,-16.16,33.59,298.15,47,20,2.1,MZ,1596041460
564,Iqaluit,63.75,-68.51,293.15,52,75,6.7,CA,1596041460
565,San Miguel,13.48,-88.18,307.15,62,20,2.1,SV,1596041461
566,Nurota,40.56,65.69,301.15,18,0,3.1,UZ,1596041461
567,Hitoyoshi,32.22,130.75,295.22,86,0,0.58,JP,1596041461
568,Namatanai,-3.67,152.43,299.27,79,9,2.18,PG,1596041462
569,Serebryansk,49.69,83.29,291.15,77,75,3.0,KZ,1596041462
570,Sittwe,20.15,92.9,301.3,85,100,3.61,MM,1596041462
571,Fort Saint James,54.43,-124.25,291.72,43,93,1.72,CA,1596041462
